Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Spencer,7.47,,,,0.34,0.34,,,,,,,1.68,0.59,,0.25,0.34,,1.09,1.34,0.76,0.42,0.17,3.36,0.76,0.67,,0.08,,,,2019
Sterling,4.04,,,,0.37,0.37,,,,,,,1.71,0.12,,,,0.12,1.59,0.24,0.12,,0.12,1.59,0.12,,0.12,,,,,2019
Sturbridge,23.41,,,,0.31,0.31,,,,,,,10.82,1.56,0.1,0.1,1.04,0.31,9.26,1.25,0.52,0.52,0.21,10.09,0.73,0.62,,0.1,0.21,,,2019
Sutton,10.47,,,,0.21,0.21,,,,,,,4.71,1.05,,0.1,0.94,,3.66,1.88,0.84,0.73,0.31,3.46,0.21,0.21,,,,,,2019
Templeton,8.76,,,,0.25,0.25,,,,,,,5.8,1.36,0.12,,0.86,0.37,4.44,0.74,0.25,0.49,,1.48,0.49,0.37,0.12,,,,,2019
Upton,8.62,,,,0.25,0.25,,,,,,,3.62,0.87,,0.12,0.62,0.12,2.75,0.87,0.62,0.25,,3.37,0.37,0.37,,,0.12,,,2019
Uxbridge,11.73,,,,0.21,0.21,,0.14,0.07,0.07,,,6.04,1.07,,0.14,0.5,0.43,4.98,1.35,1.28,0.07,,3.41,0.5,0.36,0.07,0.07,0.07,,,2019
Warren,15.32,,,,,,,,,,,,9.58,2.3,,,1.92,0.38,7.28,1.15,0.57,0.57,,4.21,0.19,0.19,,,0.19,,,2019
Webster,32.79,,,,0.95,0.95,,0.18,,,,0.18,19.2,6.14,0.53,1.42,2.66,1.54,13.06,2.3,1.06,0.83,0.41,9.51,0.65,0.59,,0.06,,,,2019
West Boylston,9.01,,,,,,,0.24,,0.12,,0.12,3.04,1.1,,0.24,0.37,0.49,1.95,1.58,1.22,0.37,,3.29,0.85,0.24,0.37,0.24,,,,2019
West Brookfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Westborough,18.59,,,,0.47,0.47,,,,,,,7.47,0.84,,0.16,0.42,0.26,6.63,1.72,0.73,0.78,0.21,8.67,0.21,0.21,,,0.05,,,2019
Westminster,10,,,,0.13,0.13,,,,,,,4.43,2.4,,0.51,0.63,1.27,2.02,0.63,0.38,0.13,0.13,4.56,0.25,0.25,,,,,,2019
Winchendon,21.29,,,,0.83,0.83,,,,,,,11.2,2.57,0.09,0.46,1.93,0.09,8.63,2.75,1.47,0.92,0.37,5.23,1.19,0.92,0.28,,0.09,,,2019
U-Mass Worcester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Fitchburg SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tufts University Worcester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tufts University Worcester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Worcester Polytechnic In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Col of the Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Quinsigamond CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Clark University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Assumption College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Assumption College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mount Wachusett CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Becker College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Worcester County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Fitchburg State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
U-Mass Worcester MA014UM00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Clark University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Worcester State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Worcester State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Worcester State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Worcester State Police Holden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Worcester State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Suffolk University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MSCPA Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Massachusetts,20.45,0.02,0.02,0,0.28,0.27,0.01,0.44,0.11,0.08,0.06,0.18,9.08,2.36,0.33,0.56,1.05,0.42,6.72,1.51,0.8,0.54,0.16,8.08,0.99,0.84,0.06,0.09,0.05,0,0,2020
Suffolk County,39.61,0.08,0.07,0,0.3,0.27,0.02,1.24,0.3,0.25,0.17,0.53,19.24,4.51,0.84,1.3,1.95,0.42,14.73,2.39,1.29,0.84,0.25,14.46,1.84,1.44,0.23,0.17,0.06,0.01,0,2020
Boston,40.93,0.08,0.08,,0.29,0.26,0.03,1.33,0.31,0.26,0.18,0.57,20.24,4.66,0.91,1.35,2.06,0.35,15.57,2.5,1.35,0.88,0.27,14.58,1.85,1.44,0.25,0.16,0.06,0.01,,2020
Hampden County,37.86,0.06,0.06,0,0.41,0.41,0.01,1.08,0.36,0.17,0.09,0.45,17.51,4.12,0.87,1.03,1.77,0.46,13.39,3.04,1.76,0.9,0.37,13.72,1.93,1.73,0.11,0.1,0.11,0,0,2020
Springfield,58.15,0.12,0.12,,0.46,0.44,0.02,2.29,0.79,0.33,0.18,0.99,30.67,6.82,1.73,1.82,2.68,0.59,23.85,4.05,2.48,1.18,0.4,17.15,3.23,2.87,0.19,0.17,0.18,0.01,,2020
Worcester County,19.05,0.02,0.02,0,0.3,0.3,0,0.38,0.1,0.08,0.04,0.16,8.35,2.42,0.41,0.53,1.13,0.34,5.93,1.7,0.96,0.51,0.23,7.19,1.06,0.92,0.06,0.09,0.04,0.01,0,2020
Essex County,14.83,0.02,0.02,0,0.2,0.19,0.01,0.24,0.08,0.04,0.04,0.09,6.99,1.88,0.22,0.42,0.94,0.3,5.1,0.87,0.43,0.4,0.04,5.71,0.77,0.66,0.05,0.06,0.03,0,0,2020
Bristol County,22.86,0.02,0.02,0,0.42,0.42,0,0.49,0.09,0.11,0.05,0.24,11.76,2.98,0.33,0.66,1.35,0.64,8.78,1.76,0.88,0.66,0.21,7.35,0.97,0.75,0.07,0.15,0.09,0.01,0,2020
Middlesex County,14.21,0.01,0.01,0,0.16,0.15,0,0.2,0.05,0.03,0.04,0.08,5.03,1.24,0.12,0.33,0.5,0.29,3.78,1.05,0.51,0.41,0.13,7,0.73,0.61,0.03,0.09,0.04,0,0,2020
Worcester,36.42,0.05,0.05,,0.27,0.27,,1.14,0.25,0.25,0.12,0.51,14.86,4.88,1.33,1.25,2.11,0.19,9.98,3.6,2.04,0.95,0.61,14.03,2.42,2.12,0.03,0.28,0.05,0.01,,2020
Plymouth County,16.05,0.02,0.01,0,0.35,0.35,0,0.31,0.09,0.07,0.04,0.12,7.37,2.29,0.26,0.41,1.04,0.58,5.08,1.04,0.54,0.41,0.09,5.83,1.04,0.99,0.03,0.02,0.07,0.01,0,2020
Lynn,21.39,0.06,0.06,,0.25,0.25,,0.57,0.12,0.12,0.12,0.22,10.71,3.54,0.59,0.85,1.89,0.21,7.16,1.52,0.83,0.67,0.02,6.8,1.43,1.26,0.04,0.13,0.03,,,2020
Fall River,30.75,0.02,0.02,,0.71,0.71,,1.02,0.16,0.3,0.08,0.48,17.46,7.01,0.83,1.49,2.92,1.77,10.44,3.85,1.9,1.41,0.54,5.27,2.05,1.59,0.1,0.36,0.37,,,2020
Norfolk County,12.55,0.01,0.01,0,0.18,0.17,0,0.17,0.05,0.02,0.04,0.07,4.45,1.29,0.09,0.25,0.56,0.4,3.16,0.9,0.53,0.3,0.08,6.26,0.55,0.48,0.02,0.06,0.02,0,0,2020
Brockton,36.06,0.04,0.04,,0.64,0.63,0.01,1.19,0.4,0.29,0.13,0.36,17.15,5.78,0.85,1.31,2.29,1.33,11.37,2.04,1.38,0.5,0.15,10.92,3.86,3.84,0.01,0.01,0.18,0.03,0.01,2020
Holyoke,56.15,0.2,0.2,,0.42,0.42,,1.6,0.42,0.27,0.12,0.77,22.47,6.8,1.47,1.52,3.52,0.27,15.67,4.85,2.82,1,1.02,23.82,2.62,2.32,0.1,0.2,0.15,,,2020
Lowell,29.67,0.05,0.05,,0.17,0.16,0.01,0.6,0.18,0.07,0.09,0.26,13.99,2.33,0.42,1.24,0.41,0.24,11.66,2.03,1.6,0.01,0.42,10.68,2.04,1.65,,0.39,0.11,,,2020
Abington,10.92,,,,0.64,0.64,,0.29,,,0.12,0.17,3.47,1.33,,0.17,0.92,0.23,2.14,0.64,0.4,0.17,0.06,5.2,0.69,0.52,0.06,0.12,,,,2020
New Bedford,46.03,0.04,0.04,,0.54,0.54,,1.12,0.17,0.24,0.11,0.6,26.45,4.57,0.67,1.23,1.97,0.7,21.88,3.02,1.67,1.19,0.17,12.94,1.8,1.39,0.12,0.3,0.12,,,2020
North Attleborough,16.15,,,,0.17,0.17,,0.14,0.03,0.03,0.03,0.03,4.13,0.79,0.03,0.27,0.34,0.14,3.35,0.58,0.24,,0.34,10.76,0.38,0.38,,,,,,2020
Lawrence,20.69,0.06,0.06,,0.18,0.18,,0.66,0.36,0.09,0.1,0.11,11.7,3.59,0.73,0.89,1.59,0.39,8.11,0.56,0.31,0.24,0.01,5.79,1.74,1.43,0.19,0.13,,,,2020
Westfield,15.1,,,,0.56,0.56,,0.07,0.02,,,0.05,6.45,1.39,0.27,0.32,0.54,0.27,5.06,1.12,0.66,0.34,0.12,6.43,0.39,0.37,,0.02,0.07,,,2020
Everett,22.88,,,,0.56,0.56,,0.36,0.13,0.09,0.09,0.06,7.53,2.95,0.41,0.62,0.9,1.03,4.58,1.6,0.68,0.58,0.34,11.08,1.73,1.58,,0.15,0.02,,,2020
Barnstable County,18.12,0.01,0.01,0,0.44,0.43,0.01,0.13,0.02,0.01,0.02,0.07,9.19,2.41,0.11,0.51,1.26,0.53,6.78,1.77,0.78,0.74,0.25,6.13,0.32,0.3,0,0.01,0.09,0.02,0,2020
Barnstable,21.35,,,,0.7,0.66,0.05,0.27,0.05,0.05,0.02,0.16,12.18,3.31,0.14,0.66,1.92,0.59,8.88,1.18,0.36,0.54,0.27,6.45,0.38,0.34,,0.05,0.18,,,2020
Berkshire County,21.82,0.01,0.01,0,0.51,0.51,0,0.4,0.12,0.08,0.06,0.15,9.63,3.32,0.33,0.7,1.39,0.89,6.31,3,1.61,1.21,0.19,7.35,0.79,0.76,0.01,0.02,0.13,0,0,2020
Pittsfield,31.82,0.02,0.02,,0.88,0.88,,0.81,0.19,0.21,0.14,0.26,14.05,6.47,0.76,1.53,2.84,1.34,7.57,5.54,2.87,2.41,0.26,8.84,1.5,1.46,,0.05,0.17,,,2020
Taunton,14.89,0.02,0.02,,0.47,0.47,,0.24,0.03,0.1,,0.1,9.35,3.4,0.42,0.73,1.6,0.65,5.95,0.94,0.37,0.54,0.03,3.3,0.58,0.33,0.09,0.16,0,,,2020
Chicopee,41.52,0.04,0.02,0.02,0.46,0.46,,0.76,0.25,0.09,0.07,0.35,19.3,4.12,0.62,1.2,2.04,0.25,15.19,3.39,2.39,0.75,0.25,15.5,2.02,1.71,0.18,0.13,0.05,,,2020
Revere,23.09,0.02,0.02,,0.28,0.28,,0.68,0.3,0.08,0.08,0.23,9.6,2.74,0.43,0.7,1.04,0.57,6.86,1.02,0.57,0.32,0.13,9.65,1.81,1.59,0.08,0.15,,0.02,,2020
MBTA - Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Groveland,2.33,,,,,,,,,,,,1.31,,,,,,1.31,,,,,1.02,,,,,,,,2020
Haverhill,25.95,0.03,0.03,,0.17,0.17,,0.3,0.03,0.03,0.05,0.19,15.39,4.25,0.37,0.72,2.25,0.91,11.14,2.25,0.8,1.41,0.05,6.42,1.3,1.17,0.06,0.06,0.09,,,2020
Methuen,14.35,,,,0.1,0.08,0.02,0.08,0.04,,,0.04,5.45,1.04,0.06,0.2,0.67,0.12,4.41,1.08,0.73,0.26,0.1,6.46,1.16,0.96,0.04,0.16,0.02,,,2020
MBTA - Essex County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
East Longmeadow,15.64,,,,0.25,0.25,,0.19,,0.06,0.06,0.06,4.64,0.31,,0.06,0.12,0.12,4.33,1.17,0.62,0.31,0.25,8.47,0.93,0.93,,,0,,,2020
Hampshire County,15.84,0.01,0.01,0,0.36,0.36,0,0.14,0.02,0.02,0.01,0.09,5.65,1.59,0.2,0.2,0.66,0.53,4.06,1.17,0.62,0.43,0.12,7.79,0.64,0.62,0.01,0.01,0.08,0,0,2020
Northampton,27.02,,,,0.46,0.46,,0.35,0.04,0.04,0.04,0.25,9.64,2.43,0.32,0.32,1.16,0.63,7.21,1.76,0.81,0.91,0.04,14.14,0.56,0.56,,,0.11,,,2020
Cambridge,27.66,0.01,0.01,,0.21,0.21,,0.56,0.03,0.14,0.18,0.21,8.43,2.07,0.17,0.57,0.98,0.36,6.36,1.68,0.82,0.84,0.03,15.99,0.68,0.51,0.04,0.13,0.1,,,2020
Framingham,19.13,0.03,0.03,,0.19,0.19,,0.27,0.08,0.04,0.03,0.12,6.99,3.08,0.21,0.63,0.94,1.3,3.91,1.47,0.35,0.44,0.68,8.44,1.7,1.55,0.04,0.11,0.05,,,2020
Groton,7.41,,,,0.09,0.09,,,,,,,4.23,0.26,,,0.18,0.09,3.97,0.53,0.18,0.18,0.18,2.47,0.09,,,0.09,,,,2020
Lexington,4.89,,,,0.03,0.03,,0.06,,,,0.06,1.33,0.3,,0.21,,0.09,1.03,0.72,0.33,0.36,0.03,2.66,0.09,0.09,,,,,,2020
Malden,19.97,0.03,0.03,,0.1,0.1,,0.56,0.05,0.12,0.1,0.3,6.69,1.99,0.2,0.5,0.85,0.45,4.7,1.64,0.68,0.96,,9.23,1.64,1.28,0.12,0.25,0.07,,,2020
Tewksbury,19.14,,,,0.32,0.32,,0.22,0.06,0.06,,0.1,7.56,1.7,0.13,0.48,0.77,0.32,5.86,0.86,0.35,0.29,0.22,9.48,0.7,0.48,0.1,0.13,,,,2020
Brookline,14.53,0.02,0.02,,0.03,0.02,0.02,0.24,0.02,0.02,0.2,,2.47,0.78,0.03,0.14,0.58,0.03,1.69,0.61,0.54,,0.07,10.82,0.34,0.32,,0.02,,,,2020
Plainville,7.24,,,,0.32,0.32,,,,,,,2.02,0.53,,,0.53,,1.49,0.75,0.32,0.43,,3.94,0.21,0.11,,0.11,,,,2020
Quincy,21.61,0.02,0.01,0.01,0.3,0.29,0.01,0.39,0.05,0.05,0.06,0.22,8.68,2.52,0.1,0.59,0.94,0.89,6.16,2.09,1.15,0.73,0.21,9.16,0.92,0.73,0.06,0.13,0.05,,,2020
Randolph,20.62,,,,0.28,0.28,,0.28,0.19,0.03,,0.06,10.08,2.37,0.69,0.69,0.75,0.25,7.71,1.59,1.47,0.12,,6.52,1.81,1.25,0.06,0.5,0.06,,,2020
Stoughton,16.38,0.03,0.03,,0.48,0.48,,0.41,0.28,,0.03,0.1,7.98,2.13,0.28,0.52,1.2,0.14,5.85,0.93,0.69,0.24,,5.75,0.76,0.65,,0.1,0.03,,,2020
Wareham,20.07,0.04,0.04,,0.55,0.55,,0.13,0.04,0.04,,0.04,9.53,3.05,0.34,0.68,1.57,0.47,6.48,2.07,1.27,0.64,0.17,7.03,0.68,0.64,,0.04,0.04,,,2020
Athol,18.15,,,,0.51,0.51,,0.26,,,0.09,0.17,8.3,3.34,0.09,0.26,1.28,1.71,4.96,1.2,0.6,0.6,,7.45,0.34,0.34,,,0.09,,,2020
Clinton,2.22,,,,,,,,,,,,1.58,0.43,,0.21,0.14,0.07,1.15,,,,,0.64,,,,,,,,2020
Fitchburg,27.03,0.02,0.02,,0.47,0.47,,1.06,0.49,0.17,0.02,0.37,10.93,3.96,0.57,0.89,1.21,1.29,6.97,2.67,1.63,0.77,0.27,9.99,1.83,1.53,0.15,0.15,0.05,,,2020
Bourne,20.81,,,,0.36,0.36,,0.1,,0.05,,0.05,10.38,1.73,0.15,0.2,1.07,0.31,8.65,2.34,0.81,1.48,0.05,7.17,0.41,0.41,,,0.05,,,2020
Brewster,7.72,,,,0.31,0.31,,0.1,,,0.1,,3.5,1.85,0.1,0.31,1.44,,1.65,0.93,0.21,0.62,0.1,2.68,0.21,0.21,,,,,,2020
Chatham,15.84,,,,0.17,0.17,,,,,,,6.57,1.52,,0.17,1.35,,5.05,2.19,1.01,0.67,0.51,6.74,,,,,0.17,,,2020
Dennis,24.27,,,,0.58,0.51,0.07,0.07,,,0.07,,11.63,3.05,0.15,0.58,1.16,1.16,8.58,2.62,1.53,0.65,0.44,8.65,0.58,0.51,,0.07,0.15,,,2020
Eastham,10.67,,,,0.21,0.21,,,,,,,6.16,2.05,,0.41,1.44,0.21,4.1,0.62,,0.62,,3.49,0.21,0.21,,,,,,2020
Falmouth,20.9,,,,0.33,0.33,,0.13,0.03,,0.07,0.03,9.17,2.47,0.16,0.52,1.2,0.59,6.7,3.8,1.85,1.53,0.42,7.02,0.33,0.33,,,0.13,,,2020
Harwich,13.09,,,,0.41,0.41,,,,,,,6.38,1.74,0.17,0.58,0.75,0.25,4.64,1.49,0.58,0.75,0.17,4.47,0.33,0.33,,,,,,2020
Mashpee,13.89,0.21,0.21,,0.28,0.28,,0.07,,,,0.07,7.19,1.55,0.07,,0.92,0.56,5.64,0.71,0.21,0.21,0.28,4.94,0.42,0.42,,,0.07,,,2020
Orleans,16.36,,,,0.7,0.7,,,,,,,5.22,1.39,,0.17,1.04,0.17,3.83,1.57,0.7,0.87,,8.7,0.17,0.17,,,,,,2020
Provincetown,32.91,,,,3.05,3.05,,0.68,,,,0.68,13.91,3.73,,0.34,2.04,1.36,10.18,2.38,1.7,0.34,0.34,12.56,0.34,0.34,,,,,,2020
Sandwich,9.65,,,,0.05,0.05,,0.05,0.05,,,,6.15,1.15,,0.2,0.75,0.2,5,0.25,0.15,0.05,0.05,3.1,0.05,0.05,,,,,,2020
Truro,12.52,,,,,,,,,,,,8.01,2,,,1.5,0.5,6.01,0.5,,,0.5,4.01,,,,,,,,2020
Wellfleet,10.71,,,,0.37,0.37,,,,,,,6.65,2.22,0.37,0.37,1.11,0.37,4.43,0.37,,0.37,,3.32,,,,,,,,2020
Yarmouth,20.99,,,,0.39,0.39,,0.17,0.04,,,0.13,10.6,3.22,0.13,1.3,1,0.78,7.39,2.04,1.09,0.65,0.3,7.08,0.35,0.3,0.04,,0.09,0.22,0.04,2020
Cape Cod Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
MBTA - Barnstable County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Barnstable State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Barnstable State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Adams,20.98,,,,0.75,0.75,,0.13,0.13,0,,,8.42,0.88,0.13,0.25,0.38,0.13,7.54,2.01,1.26,0.63,0.13,8.67,0.88,0.88,,,0.13,,,2020
Alford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Becket,12.29,,,,,,,,,,,,8.19,2.93,0.59,,0.59,1.76,5.27,,,,,2.93,1.17,1.17,,,,,,2020
Cheshire,2.89,,,,,,,0.32,,,,0.32,0.96,0.32,,,0.32,,0.64,0.64,0.64,,,0.64,0.32,,0.32,,,,,2020
Clarksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Dalton,10.77,,,,,,,,,,,,7.54,2.62,,0.62,1.54,0.46,4.92,0.46,,0.46,,2,0.62,0.62,,,0.15,,,2020
Egremont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Great Barrington,13.86,,,,0.29,0.29,,0.29,,,,0.29,5.77,0.72,,0.14,0.43,0.14,5.05,1.01,0.43,0.43,0.14,6.06,0.29,0.29,,,0.14,,,2020
Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Hinsdale,4.74,,,,,,,,,,,,4.74,3.16,,,2.63,0.53,1.58,,,,,,,,,,,,,2020
Lanesboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Lee,17.4,,,,0.53,0.53,,,,,,,6.04,1.95,,0.53,1.24,0.18,4.08,1.78,0.89,0.71,0.18,8.7,0.36,0.18,,0.18,,,,2020
Lenox,15.62,,,,0.2,0.2,,0.41,0.2,0.2,,,6.09,1.42,0.2,,1.01,0.2,4.67,1.22,1.01,0.2,,7.71,,,,,,,,2020
Monterey,4.34,,,,,,,,,,,,1.09,1.09,,,,1.09,,1.09,1.09,,,2.17,,,,,,,,2020
Mount Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
New Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
New Marlboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
North Adams,51.35,,,,0.95,0.95,,0.71,0.4,,0.08,0.24,23.3,5.94,0.48,1.03,1.27,3.17,17.35,5.71,3.17,2.22,0.32,19.57,0.63,0.63,,,0.48,,,2020
Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Sandisfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Savoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Stockbridge,14.86,,,,,,,,,,,,2.65,1.06,,,1.06,,1.59,2.12,2.12,,,10.08,,,,,,,,2020
Tyringham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
West Stockbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Williamstown,5.95,,,,,,,,,,,,1.49,0.14,,,,0.14,1.35,0.54,0.41,0.14,,3.51,0.41,0.41,,,,,,2020
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
MA College of Liberal Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
MBTA - Berkshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Berkshire State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Berkshire State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Berkshire State Police Northampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Acushnet,7.83,,,,0.38,0.38,,,,,,,5.09,1.13,0.09,0.47,0.57,,3.96,0.38,0.19,0.09,0.09,1.51,0.38,0.38,,,0.09,,,2020
Attleboro,21.89,0.02,0.02,,0.35,0.35,,0.49,0.15,0.04,0.04,0.24,9.3,2.17,0.13,0.51,1.51,0.02,7.13,1.48,0.71,0.51,0.27,9.56,0.64,0.46,0.09,0.09,0.02,0.02,,2020
Berkley,4.66,,,,,,,,,,,,2.77,0.87,0.15,,0.29,0.44,1.89,0.73,0.58,,0.15,0.73,0.29,0.29,,,,0.15,,2020
Dartmouth,23.22,0.03,0.03,,0.35,0.35,,0.35,0.06,0.09,0.03,0.18,10.27,1.41,0.06,0.26,0.94,0.15,8.86,1.09,0.44,0.5,0.15,10.47,0.62,0.5,0.03,0.09,0.03,,,2020
Dighton,6.35,,,,0.12,0.12,,,,,,,3.24,1.12,,0.12,0.75,0.25,2.12,0.37,0.25,0.12,,1.99,0.5,0.25,0.25,,,0.12,,2020
Easton,10.96,0.04,,0.04,0.32,0.32,,0.12,0.04,,0.04,0.04,3.34,0.75,0.08,0.04,0.4,0.24,2.58,0.87,0.56,0.16,0.16,5.8,0.48,0.4,0.04,0.04,,,,2020
Fairhaven,27.91,,,,0.5,0.5,,0.25,,,,0.25,14.55,2.93,0.25,0.56,1.5,0.62,11.61,1.56,0.75,0.81,,10.49,0.5,0.44,,0.06,0.06,,,2020
Freetown,11.91,,,,0.11,0.11,,,,,,,7.66,2.02,,0.21,1.17,0.64,5.64,1.28,0.74,0.11,0.43,2.77,0.11,0.11,,,,,,2020
Mansfield,9.6,,,,0.08,0.08,,0.12,0.04,,0.04,0.04,5.35,1.18,,0.41,0.25,0.53,4.17,0.45,0.12,0.29,0.04,3.43,0.12,0.12,,,0.04,,,2020
Norton,1.56,,,,0.1,0.1,,0.05,,,,0.05,1.1,0.75,,0.05,0.25,0.45,0.35,0.1,0.1,,,0.2,,,,,,,,2020
Raynham,13.51,,,,0.28,0.28,,0.28,0.07,,0.14,0.07,2.83,0.9,0.14,0.07,0.48,0.21,1.93,0.55,0.48,0.07,,9.03,0.55,0.34,0.21,,,,,2020
Rehoboth,7.98,,,,0.32,0.32,,,,,,,3.39,0.4,,,0.4,,2.98,0.73,0.16,0.48,0.08,2.82,0.73,0.56,0.08,0.08,,,,2020
Seekonk,24.42,,,,0.13,0.13,,0.13,0.13,,,,5.34,1.51,0.13,0.31,0.63,0.44,3.83,2.07,1,0.94,0.13,15.45,1.32,1.07,0.19,0.06,,,,2020
Somerset,14.59,0.06,0.06,,0.67,0.67,,0.22,,0.11,0.06,0.06,5.99,0.78,0.06,0.33,0.28,0.11,5.22,0.61,0.5,,0.11,6.71,0.33,0.33,,,,,,2020
Swansea,13.71,,,,0.18,0.18,,0.12,0.06,,,0.06,6.59,0.83,0.12,0.06,0.42,0.24,5.76,1.07,0.42,0.47,0.18,5.1,0.65,0.59,,0.06,,,,2020
Westport,10.44,,,,0.62,0.62,,0.06,0.06,,,,4.81,0.25,,,0.19,0.06,4.56,0.75,0.5,0.19,0.06,3.69,0.5,0.44,,0.06,,,,2020
U-Mass Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Stonehill College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bristol Comm College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Wheaton College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
MBTA - Bristol County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bristol State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bristol State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bristol State Police Middleboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Dukes County,20.66,0.06,0,0.06,0.58,0.58,0,0.12,0.06,0,0.06,0,10.1,4.16,0,0.23,1.39,2.54,5.94,1.44,0.4,1.04,0,8.08,0.17,0.17,0,0,0.12,0,0,2020
