Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Palmer,297,,,,2,2,,3,,,1,2,176,45,1,15,28,1,131,34,18,13,3,71,10,5,4,1,1,,,2019
Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Southwick,109,,,,3,3,,,,,,,40,7,,1,6,,33,21,7,12,2,40,5,4,1,,,,,2019
Tolland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wales,11,,,,1,1,,,,,,,4,1,,,1,,3,3,2,1,,2,,,,,1,,,2019
West Springfield,"1,330",1,,1,18,18,,15,8,4,2,1,321,105,5,12,37,51,216,101,53,33,15,817,54,50,2,2,3,,,2019
Wilbraham,312,,,,1,1,,,,,,,92,20,1,4,14,1,72,58,47,7,4,154,7,5,1,1,,,,2019
Westfield State College,44,,,,4,4,,,,,,,28,1,,,1,,27,2,,1,1,10,,,,,,,,2019
Holyoke Community College,30,,,,1,1,,,,,,,10,1,,,1,,9,,,,,19,,,,,,,,2019
Springfield Technical Community College,23,,,,,,,,,,,,7,,,,,,7,,,,,16,,,,,,,,2019
Western New England University,29,0,0,0,3,3,0,0,0,0,0,0,5,1,1,0,0,0,4,1,0,1,0,20,0,0,0,0,,0,0,2019
MBTA - Hampden County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Springfield College,40,0,0,0,2,2,0,1,0,0,0,1,9,0,0,0,0,0,9,5,2,2,1,22,1,1,0,0,0,0,0,2019
Hampden State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hampden State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hampden State Police Northampton,56,0,0,0,0,0,0,0,0,0,0,0,45,15,0,0,1,14,30,0,0,0,0,2,9,9,0,0,,0,0,2019
Amherst,380,2,,2,30,30,,2,2,,,,169,69,2,8,16,43,100,55,27,27,1,105,15,14,,1,2,,,2019
Belchertown,115,,,,1,1,,1,,1,,,58,14,3,1,7,3,44,12,7,5,,38,5,5,,,,,,2019
Chesterfield,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2019
Cummington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mt. Holyoke College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Easthampton,251,,,,7,7,,2,1,,,1,85,28,2,8,16,2,57,25,15,9,1,123,9,8,1,,,,,2019
Goshen,4,,,,,,,,,,,,,,,,,,,2,1,,1,2,,,,,,,,2019
Granby,47,,,,1,1,,,,,,,24,8,,1,4,3,16,3,2,,1,16,3,2,1,,,,,2019
Hadley,232,,,,7,7,,,,,,,54,19,,2,6,11,35,6,4,1,1,158,7,7,,,,,,2019
Hatfield,42,,,,,,,,,,,,7,2,,,,2,5,12,9,2,1,23,,,,,,,,2019
Huntington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Middlefield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pelham,4,,,,,,,,,,,,1,,,,,,1,2,1,,1,1,,,,,,,,2019
Plainfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
South Hadley,295,,,,4,4,,0,,,0,0,131,23,1,7,15,,108,28,10,14,4,121,8,8,,,3,,,2019
Southampton,62,,,,1,1,,,,,,,25,8,,1,4,3,17,12,4,8,,22,2,2,,,,,,2019
Ware,227,,,,1,1,,6,,,,6,137,42,3,7,14,18,95,9,7,1,1,64,10,9,,1,,,,2019
Westhampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Williamsburg,24,,,,1,1,,,,,,,5,1,1,,,,4,4,,4,,14,,,,,,,,2019
Worthington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
U-Mass Amherst,205,,,,6,6,,2,1,,,1,33,3,,1,,2,30,7,1,5,1,154,,,,,3,,,2019
Mt. Holyoke College,34,,,,1,1,,1,,,,1,2,1,,1,,,1,3,1,2,,27,,,,,,,,2019
Hampshire College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hampshire College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Smith College,54,,,,2,2,,,,,,,4,,,,,,4,6,,6,,42,,,,,,,,2019
Smith College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Amherst College,55,0,0,0,6,3,3,0,0,0,0,0,5,0,0,0,0,0,5,10,8,0,2,29,5,2,0,3,,0,0,2019
MBTA - Hampshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hampshire State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hampshire State Police Northampton,16,0,0,0,0,0,0,0,0,0,0,0,15,5,2,0,1,2,10,0,0,0,0,1,0,0,0,0,,0,0,2019
Acton,256,,,,6,6,,2,2,,,,98,24,1,5,16,2,74,22,7,13,2,122,3,3,,,3,,,2019
Regis College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Arlington,305,,,,5,5,,8,1,2,1,4,122,21,1,6,8,6,101,16,9,6,1,139,12,12,,,3,,,2019
Ashby,9,,,,1,1,,,,,,,,,,,,,,4,1,2,1,4,,,,,,,,2019
Ashland,140,,,,4,4,,1,1,,,,58,16,1,8,2,5,42,9,6,1,2,60,8,7,,1,,,,2019
Ayer,139,,,,1,1,,1,,,,1,80,12,,6,6,,68,14,10,4,,40,3,3,,,,,,2019
Bedford,57,,,,,,,1,,,,1,13,6,,,5,1,7,3,3,,,39,1,1,,,,,,2019
Belmont,229,,,,1,1,,,,,,,47,5,,2,2,1,42,76,25,50,1,98,5,4,,1,2,,,2019
Billerica,301,,,,2,2,,2,1,,,1,127,18,,4,13,1,109,21,12,6,3,136,13,10,,3,,,,2019
Boxborough,38,,,,,,,,,,,,12,4,,1,3,,8,1,,,1,21,4,4,,,,,,2019
Burlington,585,,,,12,12,,3,1,,,2,116,30,5,6,7,12,86,15,10,5,,426,12,10,2,,,,1,2019
Carlisle,29,,,,1,1,,,,,,,6,,,,,,6,4,2,2,,18,,,,,,,,2019
Chelmsford,488,,,,4,3,1,1,1,,,,84,29,3,14,8,4,55,17,11,4,2,364,16,15,1,,2,,,2019
Concord,153,,,,5,5,,1,,1,,,54,13,,1,11,1,41,7,4,3,,84,1,1,,,1,,,2019
Dracut,364,,,,2,2,,4,1,2,,1,146,24,1,4,16,3,122,33,16,8,9,162,16,16,,,1,,,2019
Dunstable,18,,,,,,,,,,,,11,3,1,,1,1,8,3,1,2,,3,1,1,,,,,,2019
Holliston,91,,,,1,1,,1,,,,1,48,12,,1,6,5,36,8,4,2,2,31,2,2,,,,,,2019
Hopkinton,63,,,,,,,,,,,,33,,,,,,33,1,,1,,28,1,1,,,,,,2019
Hudson,160,,,,12,12,,1,1,,,,66,27,2,4,15,6,39,5,2,2,1,74,2,2,,,,,,2019
Lincoln,27,,,,1,,1,,,,,,10,3,,2,1,,7,2,,2,,14,,,,,,,,2019
Littleton,96,,,,5,5,,,,,,,43,6,,,4,2,37,5,1,4,,43,,,,,,,,2019
Marlborough,"1,032",1,,1,17,17,,15,3,2,3,7,462,117,7,18,66,26,345,71,31,17,23,439,25,24,,1,1,,1,2019
Maynard,101,,,,3,3,,2,1,,,1,57,19,1,3,10,5,38,7,3,2,2,29,3,3,,,,,,2019
Medford,852,,,,7,7,,17,10,1,2,4,297,92,13,22,45,12,205,51,24,19,8,446,33,24,4,5,1,,,2019
Melrose,277,,,,,,,3,0,2,,1,102,29,5,8,7,9,73,25,6,16,3,131,16,13,,3,,,,2019
Natick,510,1,,1,7,7,,4,,2,,2,111,26,5,2,15,4,85,22,11,11,,352,11,10,1,,2,,,2019
Newton,742,,,,4,4,,10,1,3,2,4,217,35,2,10,22,1,182,75,36,28,11,424,11,8,2,1,1,,,2019
North Reading,109,,,,3,3,,1,,1,,,45,12,2,1,4,5,33,10,5,5,,44,6,5,,1,,,,2019
Pepperell,113,,,,5,5,,1,,,,1,49,9,1,1,6,1,40,5,5,,,50,3,3,,,,,,2019
Reading,147,,,,,,,2,,,,2,29,3,,1,1,1,26,15,4,10,1,94,7,7,,,,,,2019
Sherborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Shirley,81,,,,1,1,,,,,,,38,18,,5,10,3,20,10,4,6,,28,4,4,,,,,,2019
Somerville,"1,471",,,,16,16,,39,10,6,8,15,377,119,18,30,63,8,258,140,61,76,3,806,89,56,11,22,4,,,2019
Stoneham,272,,,,9,9,,5,1,2,1,1,83,19,,2,11,6,64,44,21,22,1,115,16,12,,4,,,,2019
Stow,34,,,,,,,,,,,,21,4,,1,3,,17,4,4,,,8,,,,,1,,,2019
Sudbury,108,,,,6,6,,1,,,1,,32,8,,1,3,4,24,7,4,3,,59,3,3,,,,,,2019
Townsend,77,,,,2,2,,,,,,,43,8,,,6,2,35,4,3,1,,21,7,5,,2,,,,2019
Tyngsborough,104,,,,4,4,,3,,1,1,1,50,12,2,,6,4,38,5,,4,1,31,11,7,4,,,,,2019
Wakefield,287,,,,3,3,,3,1,,,2,115,31,1,2,19,9,84,25,10,9,6,129,12,10,,2,,,,2019
Waltham,895,,,,13,13,,7,,2,2,3,357,82,,20,44,18,275,70,31,39,,421,22,16,2,4,5,,,2019
Watertown,480,,,,10,10,,2,1,,,1,145,17,1,3,13,,128,36,18,14,4,273,14,11,1,2,,,,2019
Wayland,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2019
Westford,91,,,,,,,1,,,,1,36,9,,3,6,,27,5,3,1,1,45,4,4,,,,,,2019
Weston,55,,,,2,2,,,,,,,25,7,,1,2,4,18,3,3,,,24,1,1,,,,,,2019
Wilmington,254,,,,5,5,,1,,1,,,93,26,,5,13,8,67,15,6,9,,125,15,12,3,,,,,2019
Winchester,104,,,,,,,,,,,,15,7,3,1,2,1,8,10,6,4,,74,4,2,2,,1,,,2019
Woburn,606,,,,2,2,,11,2,2,3,4,174,58,6,8,23,21,116,46,25,18,3,324,45,42,,3,1,3,,2019
Brandeis University,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,24,0,0,0,0,,0,0,2019
Brandeis University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bentley College,52,,,,3,3,,,,,,,19,5,,,2,3,14,3,,3,,27,,,,,,,,2019
Framingham State University,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,,0,0,2019
U-Mass Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Boston and Maine Railroad Police Dept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Harvard University,489,0,0,0,2,2,0,2,0,0,0,2,43,5,0,1,4,0,38,48,7,37,4,391,3,0,0,3,0,0,0,2019
Tufts University Medford,47,,,,,,,,,,,,13,3,,,,3,10,3,,3,,31,,,,,0,,,2019
Tufts University since 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Boston College,106,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,11,3,0,3,0,91,0,0,0,0,,0,0,2019
Lasell College,12,,,,3,3,,,,,,,3,1,,,,1,2,1,,1,,5,,,,,,,,2019
Regis College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Regis College,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019
Mount IDA College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Middlesex County,279,0,0,0,0,0,0,8,0,0,0,8,90,26,0,0,0,26,64,2,2,0,0,177,2,1,0,1,,,,2019
Boston College(Old ORI pre-2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MIT,316,,,,,,,,,,,,31,2,,,2,,29,13,4,8,1,271,1,,,1,,,,2019
Framingham SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Tufts University prior 01/01/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Middlesex State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Middlesex State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Middlesex State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Middlesex State Police Holden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2019
Nantucket County,269,0,0,0,2,2,0,0,0,0,0,0,109,26,1,8,9,8,83,17,7,7,3,137,4,4,0,0,0,0,0,2019
Nantucket,267,,,,2,2,,,,,,,107,25,1,8,9,7,82,17,7,7,3,137,4,4,,,0,,,2019
MBTA - Nantucket County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Nantucket State Police,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,2019
Mt. Ida College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Avon,142,0,0,0,1,1,0,2,0,1,0,1,26,7,0,0,7,0,19,9,4,4,1,99,4,4,0,0,1,0,0,2019
Bellingham,310,,,,3,3,,2,,1,,1,107,20,2,1,14,3,87,16,9,4,3,172,8,6,1,1,2,,,2019
Braintree,737,,,,3,3,,4,1,1,,2,240,38,1,4,18,15,202,53,26,27,,419,17,16,,1,1,,,2019
Canton,269,,,,,,,5,2,1,2,,106,80,4,1,16,59,26,18,11,7,,132,7,6,,1,1,,,2019
Cohasset,76,,,,,,,,,,,,23,3,,0,1,2,20,10,3,6,1,40,3,3,,,,,,2019
Dedham,375,,,,5,5,,1,1,,,,42,1,,1,,,41,8,6,2,,297,22,22,,,,,,2019
Dover,23,,,,,,,,,,,,10,1,,,1,,9,3,2,1,,10,,,,,,,,2019
Foxborough,341,,,,5,5,,4,1,,1,2,171,26,,2,21,3,145,18,8,10,,124,18,16,,2,1,,,2019
Franklin,176,,,,,,,1,,,,1,72,1,,1,,,71,16,3,13,,81,6,6,,,,,,2019
Holbrook,235,,,,4,4,,4,,1,,3,98,25,4,4,16,1,73,26,10,14,2,94,9,9,,,,,,2019
Medfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Medway,51,,,,,,,,,,,,22,6,,,5,1,16,8,6,1,1,21,,,,,,,,2019
Millis,48,,,,2,2,,,,,,,28,4,,1,2,1,24,6,3,3,,10,2,1,1,,,,,2019
Milton,94,,,,2,2,,5,4,,,1,26,4,,,3,1,22,13,3,10,,40,8,8,,,,,,2019
Needham,202,,,,3,3,,,,,,,61,8,,2,4,2,53,22,12,6,4,113,2,2,,,1,,,2019
Norfolk,35,,,,,,,,,,,,12,1,,,1,,11,3,,2,1,20,,,,,,,,2019
Norwood,412,,,,9,9,,8,1,1,1,5,177,30,,6,21,3,147,33,12,20,1,174,9,7,,2,2,,,2019
Sharon,75,,,,4,4,,,,,,,23,5,,1,3,1,18,10,7,2,1,33,4,4,,,1,,,2019
Walpole,446,,,,11,11,,1,,1,,,173,38,4,8,21,5,135,25,9,12,4,224,12,9,2,1,,,,2019
Wellesley,167,,,,,,,,,,,,47,7,1,,6,,40,15,7,4,4,104,1,1,,,,,,2019
Westwood,216,,,,1,1,,3,2,,,1,46,6,1,,3,2,40,14,7,6,1,148,4,4,,,,,,2019
Weymouth,852,,,,21,20,1,9,4,2,,3,357,140,4,16,65,55,217,44,22,11,11,389,32,32,,,,,,2019
Wrentham,201,,,,2,2,,,,,,,21,2,,,1,1,19,18,5,10,3,153,7,7,,,,,,2019
Babson College,34,0,0,0,4,4,0,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,27,0,0,0,0,,0,0,2019
Dean College,23,,,,,,,,,,,,4,,,,,,4,5,,5,,14,,,,,,,,2019
Mass Bay Community College,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,,0,0,2019
Curry College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Norfolk County,114,0,0,0,0,0,0,5,0,1,0,4,36,7,0,0,0,7,29,0,0,0,0,70,3,3,0,0,,,,2019
Wellesley College,28,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,3,0,3,0,23,0,0,0,0,,0,0,2019
Norfolk State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Norfolk State Police Framingham,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,2019
Norfolk State Police Middleboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2019
Bridgewater,228,,,,4,4,,3,,2,,1,125,52,1,2,20,29,73,23,14,8,1,63,10,8,2,,,,,2019
Carver,159,,,,6,6,,3,,1,,2,82,17,1,1,4,11,65,13,4,6,3,49,6,5,,1,,,,2019
Duxbury,103,,,,2,2,,,,,,,44,7,,,3,4,37,9,2,6,1,47,1,1,,,0,,,2019
East Bridgewater,157,,,,3,3,,2,,1,,1,86,22,,5,15,2,64,12,3,6,3,46,6,6,,,2,,,2019
Halifax,81,,,,1,1,,,,,,,28,7,1,1,3,2,21,9,5,4,,38,5,2,2,1,0,,,2019
Hanover,127,,,,,,,,,,,,6,3,,,3,,3,4,1,1,2,116,1,1,,,,,,2019
Hanson,132,,,,1,1,,2,,1,,1,81,14,1,2,4,7,67,9,3,5,1,38,1,1,,,,,,2019
Hingham,264,,,,6,6,,,,,,,75,24,,4,9,11,51,45,14,29,2,134,4,4,,,,,,2019
Hull,196,,,,4,4,,1,,,,1,110,42,3,2,15,22,68,7,1,6,,70,4,4,,,,,,2019
Kingston,187,,,,5,5,,3,2,1,,,69,14,1,,3,10,55,8,2,3,3,97,4,4,,,1,,,2019
Lakeville,131,,,,4,4,,1,1,,,,41,12,1,3,3,5,29,20,16,3,1,62,3,3,,,,,,2019
Marion,65,,,,2,2,,,,,,,30,3,1,1,1,,27,4,3,,1,29,,,,,,,,2019
Marshfield,143,,,,2,2,,3,,,3,,68,27,,4,13,10,41,9,3,5,1,55,6,6,,,,,,2019
Mattapoisett,73,,,,1,1,,,,,,,32,11,,,3,8,21,5,3,2,,33,2,2,,,,,,2019
Middleborough,530,,,,17,17,,9,1,1,2,5,309,102,3,12,32,55,207,15,9,6,,153,23,14,8,1,4,,,2019
Norwell,74,,,,,,,,,,,,23,11,,,5,6,12,8,5,3,,38,5,5,,,,,,2019
Pembroke,140,1,,1,2,2,,3,1,,,2,52,8,,1,6,1,44,12,4,7,1,61,8,6,1,1,1,,,2019
Plymouth,"1,231",,,,38,38,,11,,4,2,5,581,151,9,25,96,21,430,73,33,38,2,492,31,25,3,3,5,,,2019
Plympton,48,,,,,,,1,,,,1,31,3,,1,2,,28,5,2,2,1,10,1,1,,,,,,2019
Rochester,58,,,,5,5,,,,,,,27,3,,,2,1,24,10,4,3,3,14,2,2,,,,,,2019
Rockland,195,,,,8,8,,4,2,,,2,122,41,1,10,23,7,81,16,9,6,1,39,4,4,,,2,,,2019
Scituate,109,,,,2,2,,,,,,,43,12,,6,3,3,31,7,4,3,,50,5,5,,,1,1,,2019
West Bridgewater,99,,,,1,1,,,,,,,25,8,1,,5,2,17,16,9,2,5,49,7,7,,,1,,,2019
Whitman,211,,,,3,3,,3,,,1,2,99,27,3,12,9,3,72,21,10,2,9,76,7,7,,,2,,,2019
Bridgewater State University,46,,,,4,4,,,,,,,20,5,,,3,2,15,,,,,21,1,1,,,,,,2019
Massasoit Community College,11,,,,,,,1,,,,1,4,,,,,,4,,,,,6,,,,,,,,2019
MBTA - Plymouth County,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,,,,2019
Plymouth State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Plymouth State Police Middleboro,7,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0,1,1,0,0,,0,0,2019
Boston College(Old ORI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
"Capitol PD, Boston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Chelsea,"1,510",,,,25,24,1,66,14,10,3,39,823,179,17,64,62,36,644,105,59,29,17,408,83,74,1,8,0,,,2019
Winthrop,223,,,,2,2,,6,2,,,4,87,29,1,2,8,18,58,10,6,1,3,102,16,15,,1,,,,2019
Environmental Police,33,2,,2,,,,,,,,,22,9,1,,6,2,13,2,2,,,5,2,2,,,,,,2019
U-Mass Boston,40,,,,,,,,,,,,8,,,,,,8,1,1,,,31,,,,,,,,2019
MBTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Boston University,462,,,,8,8,,1,,,,1,61,2,1,,1,,59,17,7,8,2,368,7,1,1,5,0,,,2019
Northeastern University,335,0,0,0,10,9,1,2,0,0,0,2,31,7,0,0,5,2,24,17,8,6,3,267,8,1,0,7,,0,0,2019
Mass College of Art,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,10,0,0,0,0,,0,0,2019
Tufts University Suffolk,22,,,,2,2,,,,,,,1,,,,,,1,,,,,19,,,,,,,,2019
Tufts University Suffolk prior to 01/01/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bunker Hill Community College,29,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,3,0,0,0,0,25,0,0,0,0,,0,0,2019
Beth Israel Deaconess Med Ctr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Simmons University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mass General Hospital,685,0,0,0,0,0,0,1,0,0,0,1,549,96,0,4,12,80,453,0,0,0,0,135,0,0,0,0,0,0,0,2019
Fisher College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Fisher College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wentworth Institute of Technology,37,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,31,2,0,0,2,,0,0,2019
Roxbury Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MCPHS University,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2019
Emerson College,37,0,0,0,7,4,3,0,0,0,0,0,9,0,0,0,0,0,9,1,0,1,0,20,0,0,0,0,,0,0,2019
Emerson College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Northeastern U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wentworth Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Suffolk State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Suffolk State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Suffolk State Police Framingham,26,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,2,3,7,2,2,0,0,0,12,12,0,0,,0,0,2019
Suffolk State Police Logan Airport,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,,0,0,2019
Ashburnham,54,,,,2,2,,,,,,,24,6,,,5,1,18,7,4,3,,18,3,1,2,,,,,2019
Auburn,394,1,,1,,,,1,1,,,,83,27,1,4,14,8,56,29,24,5,,264,13,13,,,3,,,2019
Barre,59,,,,1,1,,1,,,1,,39,14,,3,11,0,25,1,,1,,10,7,7,,,,,,2019
Berlin,37,,,,2,1,1,1,,,,1,3,1,,,1,,2,4,4,,,26,1,1,,,,,,2019
Blackstone,76,,,,1,1,,2,1,,,1,52,10,,4,6,,42,5,4,1,,12,4,4,,,,,,2019
Bolton,44,,,,,,,,,,,,19,2,,,2,,17,2,,2,,23,,,,,,,,2019
Boylston,10,,,,,,,,,,,,8,4,,1,,3,4,,,,,2,,,,,,,,2019
Brookfield,47,,,,2,2,,1,,,,1,18,3,,,2,1,15,4,3,1,,20,2,2,,,,,,2019
Charlton,125,,,,2,2,,,,,,,65,6,,1,5,,59,16,8,5,3,36,5,5,,,1,,,2019
Douglas,62,,,,2,2,,1,,,,1,34,5,1,,2,2,29,6,3,3,,16,3,3,,,,,,2019
Dudley,171,,,,7,7,,2,1,1,,,110,23,2,5,10,6,87,9,3,6,,38,5,5,,,0,,,2019
East Brookfield,24,,,,,,,,,,,,17,4,,,3,1,13,,,,,3,4,4,,,,,,2019
Gardner,579,,,,13,13,,8,,2,2,4,247,49,6,12,23,8,198,60,30,20,10,229,21,16,5,,1,,,2019
Grafton,88,,,,4,4,,1,,,,1,37,10,,,7,3,27,10,4,6,,34,2,,2,,,,,2019
Hardwick,51,,,,2,2,,,,,,,34,12,1,5,5,1,22,4,4,,,11,,,,,,,,2019
Harvard,35,,,,3,3,,,,,,,6,2,,0,1,1,4,6,2,2,2,20,,,,,,,,2019
Holden,70,,,,,,,1,,,,1,29,5,1,2,2,,24,2,,1,1,27,10,7,,3,1,,,2019
Hopedale,47,,,,1,1,,1,,,,1,32,10,,4,1,5,22,2,,2,,11,,,,,,,,2019
Hubbardston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Lancaster,57,,,,1,1,,,,,,,13,5,1,1,1,2,8,7,5,2,,32,4,4,,,,,,2019
Leicester,301,,,,2,2,,1,,,,1,63,20,,,10,10,43,9,2,7,,224,1,1,,,1,,,2019
Leominster,"1,476",,,,32,31,1,21,5,1,5,10,815,189,8,24,105,52,626,66,43,19,4,500,40,37,2,1,2,,,2019
Lunenburg,180,,,,5,5,,4,,3,1,,43,15,,3,11,1,28,13,10,3,,115,,,,,,,,2019
Mendon,37,,,,,,,,,,,,21,3,,2,1,,18,2,2,,,9,5,4,1,,,,,2019
Milford,408,,,,11,11,,4,,1,1,2,216,33,1,9,20,3,183,38,27,9,2,123,14,8,1,5,2,,,2019
Millbury,211,,,,2,2,,1,1,,,,69,21,3,4,9,5,48,13,7,5,1,115,11,11,,,0,,,2019
Millville,22,,,,3,3,,,,,,,5,2,,1,1,,3,1,,1,,13,,,,,,,,2019
New Braintree,8,,,,,,,,,,,,4,3,1,,2,,1,2,1,1,,1,1,1,,,,,,2019
North Brookfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Northborough,136,,,,2,2,,,,,,,42,3,,2,1,,39,12,9,3,,79,,,,,1,,,2019
Northbridge,231,,,,2,2,,,,,,,87,29,4,6,14,5,58,21,10,11,,114,6,5,1,,1,,,2019
Oakham,9,,,,,,,,,,,,5,,,,,,5,,,,,3,1,1,,,,,,2019
Oxford,262,,,,11,11,,1,,,1,,87,19,2,7,7,3,68,12,5,7,,145,6,6,,,,,,2019
Paxton,27,,,,2,2,,,,,,,13,6,,,6,,7,1,,1,,9,2,2,,,,,,2019
Petersham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
